epoch,Precision,Recall,accuracy,loss,val_Precision,val_Recall,val_accuracy,val_loss
0,0.939667284488678,0.9406834840774536,0.9401427507400513,0.15424683690071106,0.9439630508422852,0.9855247139930725,0.9808210730552673,0.04924748092889786
1,0.9751391410827637,0.9756137132644653,0.9753704071044922,0.06830772012472153,0.9858895540237427,0.9692400693893433,0.9882706999778748,0.03607392683625221
2,0.9816617965698242,0.9812371730804443,0.9814534187316895,0.05273174121975899,0.9675324559211731,0.9885404109954834,0.9882706999778748,0.039415206760168076
3,0.9862539172172546,0.9854006767272949,0.9858332276344299,0.040580518543720245,0.988875150680542,0.965018093585968,0.9879537224769592,0.039780743420124054
4,0.9875121712684631,0.9877257347106934,0.9876176118850708,0.0366818830370903,0.9603784680366516,0.9794933795928955,0.9839911460876465,0.04374461993575096
5,0.9885890483856201,0.9884286522865295,0.9885097742080688,0.03411637991666794,0.975638747215271,0.9903498291969299,0.9909653067588806,0.022479301318526268
6,0.9891345500946045,0.9894019961357117,0.9892668128013611,0.031873684376478195,0.992168664932251,0.9933655261993408,0.996195912361145,0.012102294713258743
7,0.9899880886077881,0.9891316294670105,0.9895641803741455,0.0303830336779356,0.9868420958518982,0.9951748847961426,0.9952448606491089,0.013537835329771042
8,0.9908088445663452,0.9909159541130066,0.9908618927001953,0.028276432305574417,0.9723040461540222,0.9951748847961426,0.9912822842597961,0.024896621704101562
9,0.9919856786727905,0.9905374646186829,0.9912674427032471,0.026839138939976692,0.9550432562828064,0.9993968605995178,0.9874781966209412,0.03428160771727562
